Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
RPL13AP5	ENSG00000236552.2	104.836	50.741	1.032	8.81E-30
HOXA10-AS	ENSG00000253187.2	1.045	0	1.032	4.58E-28
RP11-150O12.3	ENSG00000254290.1	1.045	0	1.032	1.60E-25
SPTAN1	ENSG00000197694.13	123.673	59.962	1.032	1.65E-25
RAB43P1	ENSG00000259856.1	5.87	2.36	1.032	3.59E-19
ZYX	ENSG00000159840.15	152.587	74.089	1.032	7.19E-12
IGKV1-27	ENSG00000244575.3	23.254	10.86	1.032	8.04E-05
EIF2S2P4	ENSG00000128692.8	2.555	0.74	1.031	4.56E-54
CCDC134	ENSG00000100147.13	4.11	1.5	1.031	9.66E-46
ZNF800	ENSG00000048405.9	13.125	5.91	1.031	2.71E-43
DPH3	ENSG00000154813.9	13.055	5.88	1.031	1.68E-34
PCBD1	ENSG00000166228.8	121.426	58.92	1.031	2.97E-34
EVI2A	ENSG00000126860.11	5.275	2.07	1.031	1.07E-21
ALG1L	ENSG00000189366.9	2.31	0.62	1.031	5.76E-20
KLK8	ENSG00000129455.15	1.125	0.04	1.031	9.17E-16
NAPRT	ENSG00000147813.15	101.166	49.009	1.031	8.28E-13
SLC3A1	ENSG00000138079.13	1.84	0.39	1.031	1.10E-11
SLC7A5	ENSG00000103257.8	31.08	14.7	1.031	3.71E-08
PSMA4	ENSG00000041357.15	150.821	73.358	1.03	2.21E-45
DYNLL1	ENSG00000088986.10	343.567	167.729	1.03	4.05E-38
FRK	ENSG00000111816.7	4.31	1.6	1.03	7.52E-33
GTF2F2	ENSG00000188342.11	12.985	5.85	1.03	1.29E-27
ISCA1P1	ENSG00000217416.4	4.27	1.58	1.03	2.44E-16
SPRY1	ENSG00000164056.10	37.745	17.98	1.03	1.77E-12
MRC2	ENSG00000011028.13	16.625	7.63	1.03	2.00E-10
SLC2A5	ENSG00000142583.17	1.9	0.42	1.03	6.51E-07
UBIAD1	ENSG00000120942.13	10.49	4.63	1.029	7.41E-52
TOR1B	ENSG00000136816.15	17.33	7.98	1.029	4.34E-42
HSPBP1	ENSG00000133265.10	37.88	18.05	1.029	9.56E-38
EIF4E	ENSG00000151247.12	37.795	18.01	1.029	8.83E-28
CDR2L	ENSG00000109089.7	20.831	9.7	1.029	1.88E-24
FAM114A1	ENSG00000197712.11	25.889	12.18	1.029	1.37E-15
OLFML2A	ENSG00000185585.19	5.815	2.34	1.029	2.07E-11
RPL39L	ENSG00000163923.9	8.96	3.88	1.029	8.72E-10
KIF24	ENSG00000186638.15	1.815	0.38	1.028	1.89E-55
YIF1B	ENSG00000167645.16	33.009	15.68	1.028	5.34E-42
CHAC2	ENSG00000143942.4	3.935	1.42	1.028	1.82E-35
GJB4	ENSG00000189433.5	1.08	0.02	1.028	1.11E-32
RP11-234B24.6	ENSG00000255639.2	5.85	2.36	1.028	3.65E-29
ARHGAP1	ENSG00000175220.11	66.405	32.059	1.028	1.41E-28
METTL1	ENSG00000037897.16	19.44	9.03	1.027	3.66E-52
YIF1A	ENSG00000174851.14	92.561	44.901	1.027	7.34E-47
MNX1-AS1	ENSG00000243479.3	2.24	0.59	1.027	1.62E-41
CLCN4	ENSG00000073464.11	2.22	0.58	1.027	2.06E-34
HOXA1	ENSG00000105991.7	1.445	0.2	1.027	2.78E-33
FAM126B	ENSG00000155744.9	5.845	2.36	1.027	3.44E-32
PRPF4	ENSG00000136875.12	15.185	6.95	1.026	2.76E-47
TSNAX	ENSG00000116918.13	18.26	8.46	1.026	1.99E-44
PSMD10	ENSG00000101843.18	30.545	14.49	1.026	2.01E-43
SUSD3	ENSG00000157303.10	4.07	1.49	1.026	3.30E-26
LZTFL1	ENSG00000163818.16	10.71	4.75	1.026	5.96E-26
HMGN1	ENSG00000205581.10	137.557	67.102	1.025	2.80E-43
MARCKS	ENSG00000277443.1	42.43	20.34	1.025	2.18E-34
CHORDC1	ENSG00000110172.11	18.925	8.79	1.025	1.03E-25
HYPK	ENSG00000242028.5	12.025	5.4	1.025	3.60E-25
MSX1	ENSG00000163132.6	2.54	0.74	1.025	4.20E-22
DPM1	ENSG00000000419.12	47.634	22.92	1.024	2.92E-45
TPM4	ENSG00000167460.14	295.271	144.677	1.024	2.30E-28
ZP3	ENSG00000188372.14	3.635	1.28	1.024	6.62E-15
IFI16	ENSG00000163565.18	40.59	19.45	1.024	2.67E-13
LSM3	ENSG00000170860.3	14.55	6.65	1.023	1.69E-55
UBE2L3	ENSG00000185651.14	51.285	24.729	1.023	4.41E-46
BUD31	ENSG00000106245.9	93.749	45.61	1.023	2.60E-43
ZFP1	ENSG00000184517.11	4.59	1.75	1.023	5.19E-34
C8orf82	ENSG00000213563.6	24.165	11.38	1.023	5.65E-31
LRRK1	ENSG00000154237.12	7.695	3.28	1.023	2.52E-30
C14orf80	ENSG00000185347.17	8.875	3.86	1.023	3.02E-30
NOX4	ENSG00000086991.12	1.56	0.26	1.023	5.96E-29
MILR1	ENSG00000271605.5	3.53	1.23	1.023	2.72E-27
RSU1	ENSG00000148484.17	43.191	20.74	1.023	2.83E-22
CLEC11A	ENSG00000105472.12	8.41	3.63	1.023	9.29E-16
PRKCSH	ENSG00000130175.9	198.823	97.382	1.022	1.06E-46
SFMBT1	ENSG00000163935.13	7.49	3.18	1.022	2.63E-45
TMEM135	ENSG00000166575.16	8.505	3.68	1.022	9.46E-40
IL15RA	ENSG00000134470.19	25.335	11.97	1.022	5.07E-26
BCAP29	ENSG00000075790.10	27.215	12.89	1.022	8.76E-25
NPC1L1	ENSG00000015520.14	1.66	0.31	1.022	4.26E-09
AGGF1	ENSG00000164252.12	10.63	4.73	1.021	4.95E-48
TARS	ENSG00000113407.13	59.114	28.62	1.021	5.70E-40
FAM98B	ENSG00000171262.11	9.17	4.01	1.021	7.33E-39
LNX2	ENSG00000139517.7	9.92	4.38	1.021	4.09E-31
CAMSAP2	ENSG00000118200.14	8.74	3.8	1.021	1.17E-24
RP11-512M8.5	ENSG00000256861.1	1.03	0	1.021	4.99E-22
ZYG11B	ENSG00000162378.12	6.265	2.58	1.021	1.62E-21
MLXIPL	ENSG00000009950.15	7.055	2.97	1.021	3.58E-06
DCPS	ENSG00000110063.8	14.35	6.57	1.02	4.40E-49
MAK16	ENSG00000198042.10	7.84	3.36	1.02	2.51E-45
VARS	ENSG00000204394.12	39.649	19.05	1.02	1.13E-41
PKNOX1	ENSG00000160199.14	7.86	3.37	1.02	4.28E-38
NAB1	ENSG00000138386.16	20.785	9.74	1.02	6.56E-30
GPRIN3	ENSG00000185477.4	2.935	0.94	1.02	1.71E-26
RUNX2	ENSG00000124813.20	3.36	1.15	1.02	3.44E-25
AAED1	ENSG00000158122.11	6.99	2.94	1.02	3.63E-24
HIATL1	ENSG00000148110.15	25.609	12.13	1.019	3.67E-50
WBSCR22	ENSG00000071462.11	68.265	33.18	1.019	6.68E-49
POLR1C	ENSG00000171453.17	29.365	13.98	1.019	6.35E-42
HM13	ENSG00000101294.16	143.573	70.35	1.019	1.41E-36
ULBP2	ENSG00000131015.4	1.33	0.15	1.019	4.12E-23
DENND1B	ENSG00000213047.11	4.77	1.85	1.018	8.79E-41
ICOSLG	ENSG00000160223.16	4.75	1.84	1.018	9.21E-29
LLGL1	ENSG00000131899.10	10.865	4.86	1.018	1.98E-25
CABLES1	ENSG00000134508.12	11.615	5.23	1.018	1.35E-20
TMEM237	ENSG00000155755.18	7.705	3.3	1.018	1.45E-18
HK2	ENSG00000159399.9	13.375	6.1	1.018	2.89E-17
SASS6	ENSG00000156876.9	3.23	1.09	1.017	1.67E-51
COG6	ENSG00000133103.16	11.2	5.03	1.017	7.92E-43
GTPBP4	ENSG00000107937.18	27.65	13.16	1.017	7.74E-38
NKIRAS2	ENSG00000168256.17	24.309	11.51	1.017	2.39E-32
ADAT3	ENSG00000213638.5	6.995	2.95	1.017	3.44E-28
SAMSN1	ENSG00000155307.17	7.44	3.17	1.017	6.98E-22
JADE2	ENSG00000043143.20	17.11	7.95	1.017	8.67E-21
TXNDC5	ENSG00000239264.8	107.332	52.548	1.017	3.64E-15
AC141586.5	ENSG00000215154.6	3.41	1.18	1.016	3.50E-65
NOL10	ENSG00000115761.15	15.4	7.11	1.016	1.02E-56
C16orf87	ENSG00000155330.9	4.54	1.74	1.016	2.13E-47
DLAT	ENSG00000150768.15	19.825	9.3	1.016	1.16E-41
CCDC47	ENSG00000108588.13	53.51	25.96	1.016	2.66E-30
TRIM44	ENSG00000166326.6	16.39	7.6	1.016	5.12E-28
PSMD3	ENSG00000108344.14	74.153	36.171	1.016	4.44E-27
DLGAP1-AS2	ENSG00000262001.1	2.68	0.82	1.016	4.50E-27
SOX12	ENSG00000177732.7	6.545	2.73	1.016	3.30E-23
ERF	ENSG00000105722.9	41.58	20.05	1.016	1.90E-21
CAMSAP1	ENSG00000130559.18	7.495	3.2	1.016	3.01E-21
RRAGD	ENSG00000025039.14	3.51	1.23	1.016	8.21E-09
DDX52	ENSG00000278053.4	14	6.42	1.015	3.44E-44
EMC8	ENSG00000131148.8	24.785	11.76	1.015	4.71E-44
G2E3	ENSG00000092140.14	5.91	2.42	1.015	3.72E-41
KIF22	ENSG00000079616.12	28.315	13.51	1.015	3.94E-41
RSBN1L	ENSG00000187257.14	11.185	5.03	1.015	5.22E-41
SUSD1	ENSG00000106868.16	8.135	3.52	1.015	8.85E-39
RNF125	ENSG00000101695.8	2.96	0.96	1.015	1.40E-28
RAB21	ENSG00000080371.5	28.455	13.57	1.015	1.82E-25
SPRTN	ENSG00000010072.15	5.625	2.28	1.014	2.29E-64
KIAA1549	ENSG00000122778.9	2.735	0.85	1.014	5.04E-34
TPD52L2	ENSG00000101150.17	64.179	31.271	1.014	3.27E-22
TMPPE	ENSG00000188167.8	1.745	0.36	1.013	1.76E-51
SYVN1	ENSG00000162298.16	64.235	31.321	1.013	2.65E-38
RSPH3	ENSG00000130363.11	4.145	1.55	1.013	2.81E-35
FOXK2	ENSG00000141568.19	27.345	13.05	1.013	3.83E-34
SLC46A3	ENSG00000139508.14	9.755	4.33	1.013	4.72E-16
IGHV3-74	ENSG00000224650.2	10.665	4.78	1.013	1.41E-05
C10orf2	ENSG00000107815.7	5.98	2.46	1.012	1.99E-43
CCT6A	ENSG00000146731.10	107.91	53.02	1.012	1.94E-28
RNF144A	ENSG00000151692.14	4	1.48	1.012	5.24E-28
ZBTB45P2	ENSG00000226065.1	3.88	1.42	1.012	1.08E-23
RFWD2	ENSG00000143207.19	27.634	13.21	1.011	8.96E-54
C5orf22	ENSG00000082213.17	12.64	5.77	1.011	5.11E-47
ARHGEF3	ENSG00000163947.11	12.345	5.62	1.011	6.00E-31
GRPEL2	ENSG00000164284.14	5.73	2.34	1.011	6.87E-26
DDX58	ENSG00000107201.9	6.62	2.78	1.011	1.69E-24
CALM2	ENSG00000143933.16	392.146	194.024	1.011	2.12E-16
RP11-265D17.2	ENSG00000254680.1	7.245	3.09	1.011	1.78E-09
ZBTB24	ENSG00000112365.4	4.335	1.65	1.01	6.38E-64
NOL11	ENSG00000130935.9	24.46	11.64	1.01	6.73E-52
RNF170	ENSG00000120925.13	9.335	4.13	1.01	5.26E-49
HIST1H2AM	ENSG00000278677.1	1.235	0.11	1.01	3.52E-34
HOMER1	ENSG00000152413.14	2.545	0.76	1.01	3.14E-29
RNF169	ENSG00000166439.5	5.325	2.14	1.01	5.89E-29
RP3-417G15.1	ENSG00000227008.2	4.74	1.85	1.01	6.76E-27
PCDH18	ENSG00000189184.11	5.93	2.44	1.01	1.07E-21
ST6GALNAC4	ENSG00000136840.18	23.96	11.39	1.01	3.07E-21
VEGFC	ENSG00000150630.3	4.275	1.62	1.01	5.17E-20
MAST2	ENSG00000086015.20	20.049	9.45	1.01	7.07E-09
ERP44	ENSG00000023318.7	24.12	11.48	1.009	5.85E-61
CSNK1G1	ENSG00000169118.15	4.555	1.76	1.009	1.36E-49
TMEM19	ENSG00000139291.13	12.505	5.71	1.009	3.23E-29
ATAD1	ENSG00000138138.13	18.74	8.81	1.009	5.75E-29
BCYRN1	ENSG00000236824.1	1.295	0.14	1.009	5.56E-24
EXOSC3	ENSG00000107371.12	20.264	9.57	1.008	9.88E-48
TTC26	ENSG00000105948.13	2.72	0.85	1.008	1.69E-41
GART	ENSG00000159131.16	32.054	15.44	1.008	1.10E-40
PLEKHA8P1	ENSG00000134297.6	3.685	1.33	1.008	2.25E-38
ARL2BP	ENSG00000102931.7	29.095	13.96	1.008	3.76E-25
RP11-864N7.2	ENSG00000227615.1	10.505	4.72	1.008	2.18E-18
TRPS1	ENSG00000104447.11	2.76	0.87	1.008	2.70E-06
PIGW	ENSG00000277161.1	5.895	2.43	1.007	1.21E-48
HSPA14	ENSG00000187522.13	21.205	10.05	1.007	2.07E-47
LAGE3	ENSG00000196976.6	25.3	12.09	1.007	1.75E-45
PTK2	ENSG00000169398.19	50.08	24.421	1.007	1.33E-42
ERH	ENSG00000100632.10	87.903	43.239	1.007	6.86E-42
RFFL	ENSG00000092871.16	15.925	7.42	1.007	1.42E-32
RP11-618G20.1	ENSG00000258964.1	1.01	0	1.007	4.52E-23
CCR7	ENSG00000126353.3	2.175	0.58	1.007	5.26E-20
IFI44	ENSG00000137965.10	21.146	10.02	1.007	1.12E-08
CD99P1	ENSG00000223773.6	6.43	2.7	1.006	1.81E-37
FBXO34	ENSG00000178974.9	13.545	6.24	1.006	2.73E-34
ADGRE2	ENSG00000127507.17	2.475	0.73	1.006	1.91E-28
ZNF639	ENSG00000121864.9	20.674	9.79	1.006	1.10E-23
AP001065.15	ENSG00000228709.1	1.53	0.26	1.006	4.25E-19
RP11-63A1.4	ENSG00000280158.1	4.34	1.66	1.005	4.89E-30
AC005355.2	ENSG00000251169.2	1.67	0.33	1.005	1.14E-23
IRS1	ENSG00000169047.5	8.355	3.66	1.005	1.41E-17
GPR183	ENSG00000169508.6	8.13	3.55	1.005	2.74E-11
ACPP	ENSG00000014257.15	2.975	0.98	1.005	6.59E-11
NPNT	ENSG00000168743.12	14.753	6.85	1.005	5.37E-06
GDAP2	ENSG00000196505.10	7.28	3.13	1.004	1.77E-49
ZCRB1	ENSG00000139168.7	58.084	28.47	1.004	7.49E-45
ERGIC3	ENSG00000125991.18	253.729	126.009	1.004	4.65E-43
PRKCZ	ENSG00000067606.15	17.77	8.36	1.004	1.21E-31
SIAH2	ENSG00000181788.3	24.739	11.83	1.004	1.85E-28
SAMD4B	ENSG00000179134.14	98.233	48.478	1.004	2.62E-27
PCYOX1	ENSG00000116005.11	21.085	10.01	1.004	1.08E-15
BICC1	ENSG00000122870.11	2.93	0.96	1.004	6.11E-15
CAST	ENSG00000153113.23	89.834	44.301	1.004	2.97E-11
ZNF107	ENSG00000196247.11	3.39	1.19	1.003	3.13E-56
NRAV	ENSG00000248008.2	5.835	2.41	1.003	5.63E-55
SLC35E1	ENSG00000127526.13	28.465	13.7	1.003	2.56E-45
SDE2	ENSG00000143751.9	8.82	3.9	1.003	1.28E-42
LYSMD3	ENSG00000176018.12	7.74	3.36	1.003	1.11E-33
SGPP1	ENSG00000126821.7	7.54	3.26	1.003	1.74E-24
NAP1L1	ENSG00000187109.13	206.235	102.401	1.003	5.32E-17
C1orf198	ENSG00000119280.16	23.695	11.32	1.003	1.95E-13
B3GNT8	ENSG00000177191.2	4.49	1.74	1.003	3.63E-09
DPYSL3	ENSG00000113657.12	22.31	10.63	1.003	7.88E-04
SPTLC1	ENSG00000090054.13	34.98	16.97	1.002	4.03E-34
POLD1	ENSG00000062822.12	13.56	6.27	1.002	2.73E-31
C1orf54	ENSG00000118292.8	10.415	4.7	1.002	1.50E-07
G6PC3	ENSG00000141349.8	71.644	35.309	1.001	2.11E-51
CYP20A1	ENSG00000119004.14	10.445	4.72	1.001	1.67E-46
RBM12B	ENSG00000183808.11	6.205	2.6	1.001	1.55E-39
PHAX	ENSG00000164902.13	18.875	8.93	1.001	3.05E-32
TMEM63B	ENSG00000137216.18	33.1	16.04	1.001	2.25E-19
GCHFR	ENSG00000137880.5	18.275	8.63	1.001	3.37E-14
IGHV3-73	ENSG00000211976.2	4.685	1.84	1.001	4.36E-06
CD248	ENSG00000174807.3	17.88	8.44	1	4.06E-06
ASIC3	ENSG00000213199.7	0.77	2.54	-1	4.36E-29
ANGPTL4	ENSG00000167772.11	3.915	8.83	-1	5.99E-07
NICN1	ENSG00000145029.11	4.85	10.71	-1.001	9.32E-31
MOCS1	ENSG00000124615.17	3.485	7.98	-1.002	5.26E-25
MAPK11	ENSG00000185386.14	2.235	5.48	-1.002	2.20E-19
TRMT2A	ENSG00000099899.14	17.495	36.071	-1.003	4.37E-16
SLC7A8	ENSG00000092068.18	14.68	30.45	-1.004	2.53E-15
RGS2	ENSG00000116741.7	25.86	52.87	-1.004	3.52E-12
RSPO2	ENSG00000147655.10	0.32	1.65	-1.005	2.59E-22
KRT5	ENSG00000186081.11	0.27	1.55	-1.006	9.23E-04
LA16c-312E8.4	ENSG00000279930.1	0.09	1.19	-1.007	2.58E-29
RMST	ENSG00000255794.6	0.06	1.13	-1.007	4.95E-25
MMEL1	ENSG00000142606.15	3.08	7.2	-1.007	3.35E-07
RNF185-AS1	ENSG00000254835.1	0	1.01	-1.007	1.25E-05
EFS	ENSG00000100842.12	1.575	4.18	-1.008	3.94E-25
LSMEM1	ENSG00000181016.9	0.66	2.34	-1.009	8.51E-38
SLC6A16	ENSG00000063127.15	0.38	1.78	-1.01	2.26E-46
TAF1C	ENSG00000103168.16	15.425	32.07	-1.01	4.64E-16
RP11-522B15.3	ENSG00000259275.2	0.27	1.56	-1.011	1.58E-45
RP5-894A10.2	ENSG00000244701.1	2.14	5.33	-1.011	1.00E-23
ITIH5	ENSG00000123243.14	4.82	10.74	-1.012	6.36E-12
AL928768.3	ENSG00000253701.2	2.54	6.14	-1.012	4.79E-04
H1FX-AS1	ENSG00000206417.8	0.625	2.28	-1.013	4.14E-41
MT3	ENSG00000087250.8	0.12	1.26	-1.013	6.89E-35
FENDRR	ENSG00000268388.5	6.115	13.36	-1.013	1.93E-13
FAM149A	ENSG00000109794.13	4.305	9.71	-1.014	4.54E-18
BCL2L2	ENSG00000129473.9	12.405	26.09	-1.015	5.81E-32
EPHB6	ENSG00000106123.11	1.805	4.67	-1.015	1.70E-11
MT-ND6	ENSG00000198695.2	2811.841	5688.765	-1.016	2.85E-09
MTFR1L	ENSG00000117640.17	19.325	40.12	-1.017	9.35E-37
NBPF8	ENSG00000270231.3	2.475	6.03	-1.017	1.68E-26
ZNF418	ENSG00000196724.12	0.61	2.26	-1.018	9.35E-18
ZNF204P	ENSG00000204789.4	2.09	5.26	-1.019	5.75E-23
XIST	ENSG00000229807.9	0.16	1.35	-1.019	9.97E-12
CHKA	ENSG00000110721.11	18.55	38.649	-1.02	3.12E-09
PCAT18	ENSG00000265369.3	0.02	1.07	-1.021	8.48E-46
CTC-425F1.4	ENSG00000267458.1	0	1.03	-1.021	9.26E-27
P2RY14	ENSG00000174944.8	1.575	4.23	-1.022	2.45E-19
CIART	ENSG00000159208.15	2.965	7.05	-1.022	1.24E-15
GSTA2	ENSG00000244067.2	0.32	1.68	-1.022	1.07E-04
RP11-540B6.6	ENSG00000270015.1	1.785	4.66	-1.023	3.02E-25
RP11-471B22.2	ENSG00000258424.1	0.42	1.89	-1.025	2.01E-31
PDE1C	ENSG00000154678.16	0.72	2.5	-1.025	1.55E-28
ADAMTSL4	ENSG00000143382.13	6.665	14.6	-1.025	2.05E-16
RP11-20I20.4	ENSG00000273179.1	0.995	3.06	-1.025	1.00E-13
RP11-203M5.7	ENSG00000258515.1	0.37	1.79	-1.026	1.76E-48
AKAP8L	ENSG00000011243.17	22.02	45.87	-1.026	3.38E-23
PCCA	ENSG00000175198.14	9.495	20.369	-1.026	1.91E-16
RP11-281O15.7	ENSG00000253144.1	0.3	1.65	-1.027	2.37E-48
HAND2-AS1	ENSG00000237125.8	0.485	2.03	-1.029	1.61E-12
ADGRG2	ENSG00000173698.17	0.21	1.47	-1.03	1.17E-20
DIRAS1	ENSG00000176490.4	0.41	1.88	-1.03	1.03E-16
PLCXD2	ENSG00000240891.6	2.08	5.29	-1.03	2.60E-07
BAIAP3	ENSG00000007516.13	1.1	3.29	-1.031	1.48E-18
IZUMO1	ENSG00000182264.8	0.12	1.29	-1.032	1.30E-26
5-Sep	ENSG00000184702.17	4.125	9.48	-1.032	6.04E-16
MYL2	ENSG00000111245.14	0.04	1.13	-1.034	2.20E-48
TMEM220	ENSG00000187824.8	3.555	8.33	-1.034	7.60E-27
ADM	ENSG00000148926.9	8.525	18.51	-1.034	3.63E-18
COL4A3	ENSG00000169031.18	0.27	1.6	-1.034	1.01E-16
SLC2A12	ENSG00000146411.5	1.39	3.9	-1.036	9.35E-21
TXNIP	ENSG00000265972.5	163.001	335.785	-1.038	4.28E-17
RGMB-AS1	ENSG00000246763.6	0.83	2.76	-1.039	1.20E-36
TMEM147-AS1	ENSG00000236144.6	2.08	5.33	-1.039	8.90E-18
WASF3	ENSG00000132970.12	1.19	3.5	-1.039	4.16E-12
RP11-228M15.1	ENSG00000274471.1	0.585	2.26	-1.04	1.12E-36
RP11-148K1.12	ENSG00000244151.1	0.955	3.02	-1.04	3.35E-32
AC133528.2	ENSG00000228989.1	2.275	5.74	-1.041	4.80E-21
TTLL7	ENSG00000137941.16	1.41	3.96	-1.041	1.39E-15
JMJD7-PLA2G4B	ENSG00000168970.20	1.99	5.16	-1.043	2.91E-36
GPR162	ENSG00000250510.7	0.83	2.77	-1.043	1.36E-31
PLA2G6	ENSG00000184381.18	10.285	22.25	-1.043	1.21E-15
CLK1	ENSG00000013441.15	39.34	82.241	-1.045	4.20E-21
VLDLR	ENSG00000147852.15	1.975	5.14	-1.045	2.80E-15
LARP6	ENSG00000166173.10	5.175	11.75	-1.046	5.96E-14
AGAP11	ENSG00000271880.1	0.17	1.42	-1.048	1.45E-47
RP11-228B15.4	ENSG00000225032.5	0.64	2.39	-1.048	1.14E-31
CROCC	ENSG00000058453.16	6.495	14.5	-1.048	4.30E-17
STAB1	ENSG00000010327.10	14.44	30.95	-1.049	3.27E-16
RP4-639F20.1	ENSG00000235501.5	1.545	4.27	-1.05	4.58E-30
ZNF577	ENSG00000161551.12	3.11	7.51	-1.05	1.72E-18
RP11-334C17.5	ENSG00000262580.5	1.71	4.61	-1.05	1.24E-14
ACSM3	ENSG00000005187.11	10.945	23.74	-1.05	2.48E-04
KLHDC8A	ENSG00000162873.14	0.51	2.13	-1.052	1.82E-35
HMGN2P15	ENSG00000214578.5	0.23	1.55	-1.052	9.71E-31
D2HGDH	ENSG00000180902.16	9.184	20.12	-1.052	3.42E-18
GOLGA2P5	ENSG00000238105.7	2.205	5.65	-1.053	1.34E-22
LINC00894	ENSG00000235703.5	1.29	3.75	-1.053	1.03E-21
EME2	ENSG00000197774.12	2.965	7.23	-1.054	1.81E-20
ACSF2	ENSG00000167107.12	12.4	26.82	-1.054	4.14E-15
CTD-3184A7.4	ENSG00000232442.1	2.89	7.08	-1.055	1.03E-16
SRRM2	ENSG00000167978.16	225.971	470.613	-1.055	2.98E-11
PARP6	ENSG00000137817.16	17.325	37.111	-1.056	5.35E-17
SYN2	ENSG00000157152.16	0.265	1.63	-1.056	7.66E-09
AC074212.6	ENSG00000267395.5	1.25	3.68	-1.057	1.39E-26
PLAC9	ENSG00000189129.13	4.575	10.6	-1.057	2.65E-17
NEURL4	ENSG00000215041.9	6.695	15.02	-1.058	2.54E-25
HYI	ENSG00000178922.16	16.615	35.73	-1.06	8.02E-35
RP11-203J24.8	ENSG00000227218.7	0.645	2.43	-1.06	1.87E-22
B4GALNT2	ENSG00000167080.8	0.03	1.15	-1.062	5.00E-20
UBE2QL1	ENSG00000215218.3	0.24	1.59	-1.063	1.68E-49
COLCA1	ENSG00000196167.9	4.55	10.6	-1.064	1.53E-06
CASQ2	ENSG00000118729.11	0.38	1.89	-1.066	3.67E-17
RGAG4	ENSG00000242732.4	0.89	2.96	-1.067	3.27E-25
EIF4EBP3	ENSG00000243056.1	12.255	26.761	-1.067	2.74E-20
AC013463.2	ENSG00000236283.3	0.27	1.66	-1.067	9.57E-12
TM7SF2	ENSG00000149809.14	9.92	21.88	-1.067	2.01E-11
BHMT2	ENSG00000132840.9	0.83	2.84	-1.069	1.53E-23
ASB11	ENSG00000165192.13	0.01	1.12	-1.07	6.69E-52
EBF4	ENSG00000088881.20	4.095	9.71	-1.072	1.74E-13
C1orf132	ENSG00000203709.9	0.26	1.65	-1.073	2.80E-50
RP11-1000B6.7	ENSG00000276724.1	0.4	1.95	-1.075	5.19E-46
ACAP3	ENSG00000131584.18	13.065	28.65	-1.076	1.74E-23
AC002398.12	ENSG00000267328.1	0.37	1.89	-1.077	3.79E-11
AGAP6	ENSG00000204149.9	4.985	11.64	-1.079	1.80E-17
ADCY6	ENSG00000174233.11	12.08	26.64	-1.079	4.47E-17
C2orf74	ENSG00000237651.6	4.705	11.06	-1.08	5.03E-11
RUNDC3A	ENSG00000108309.12	0.38	1.92	-1.081	1.56E-07
CLU	ENSG00000120885.19	234.711	497.86	-1.082	8.91E-10
LINC00671	ENSG00000213373.7	0.01	1.14	-1.083	5.26E-55
AC005104.3	ENSG00000223374.1	0.5	2.18	-1.084	1.39E-43
GPIHBP1	ENSG00000277494.1	0.255	1.66	-1.084	2.23E-38
SMG1P7	ENSG00000261556.8	1.22	3.71	-1.085	1.63E-32
BEX4	ENSG00000102409.9	6.765	15.48	-1.086	9.92E-19
GCNT2	ENSG00000111846.15	2.76	6.98	-1.086	8.11E-17
KRT1	ENSG00000167768.4	0.05	1.23	-1.087	3.56E-36
FAM229A	ENSG00000225828.1	2.14	5.67	-1.087	8.01E-25
RP11-298I3.5	ENSG00000259132.1	0.67	2.55	-1.088	3.85E-06
ZDHHC11B	ENSG00000206077.10	2.425	6.29	-1.09	5.71E-09
G0S2	ENSG00000123689.5	11.145	24.86	-1.09	1.54E-07
HSPB6	ENSG00000004776.11	24.615	53.53	-1.09	3.17E-07
CAB39L	ENSG00000102547.18	4.06	9.78	-1.091	6.54E-28
SLC25A21-AS1	ENSG00000258708.1	0.52	2.24	-1.092	8.55E-49
GPR17	ENSG00000144230.16	0.2	1.56	-1.093	1.01E-32
ANKZF1	ENSG00000163516.13	16.731	36.811	-1.093	1.77E-16
AC017116.11	ENSG00000239775.1	0.405	2	-1.094	1.96E-29
WDR19	ENSG00000157796.17	6.16	14.28	-1.094	6.85E-23
CRIPAK	ENSG00000179979.8	2.475	6.42	-1.094	8.78E-22
GOLGA2P10	ENSG00000255769.7	6.545	15.1	-1.094	6.18E-13
PRUNE2	ENSG00000106772.17	4.27	10.25	-1.094	2.43E-10
NUPR1	ENSG00000176046.8	35.476	76.898	-1.095	5.42E-13
SNCG	ENSG00000173267.13	3.64	8.91	-1.095	7.56E-09
CELA2A	ENSG00000142615.7	0	1.14	-1.098	3.17E-28
PRELP	ENSG00000188783.5	5.23	12.34	-1.098	6.59E-06
U2AF1L4	ENSG00000161265.14	9.55	21.621	-1.1	3.40E-38
PPP1R12C	ENSG00000125503.12	29.5	64.391	-1.1	8.28E-26
METTL17	ENSG00000165792.17	21.435	47.13	-1.101	6.31E-25
ZNF540	ENSG00000171817.16	0.43	2.07	-1.102	4.23E-60
CTD-2517M22.14	ENSG00000255182.2	1.04	3.38	-1.102	8.55E-25
HYAL1	ENSG00000114378.16	3.675	9.04	-1.103	2.09E-07
AC005339.2	ENSG00000268565.1	0	1.15	-1.104	1.83E-04
ITGA8	ENSG00000077943.7	1.57	4.53	-1.105	3.48E-20
KRT4	ENSG00000170477.12	0.06	1.28	-1.105	1.69E-05
